oznam_title,contracting_authority_name,oznam_e_auction,estimatedprice,procedure_title,contract_type,contract_sub_type,nuts,gpa,result_e_auction,eu_funds,total_final_value_amount,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat
Licencia hlavného informačného sytému a súvisiace služby,"Národný centrálny depozitár cenných papierov, a. s.",,2990000,Otvorená,Tovary,Kúpa,SK01,true,false,false,2697997,false,,2697997
Vykonanie hlavnej opravy na hnacom dráhovom vozidle radu 736.,"Železničná spoločnosť Cargo Slovakia, a.s.",,1700000,Otvorená,Služby,1 - Údržbárske a opravárske služby,SK032,true,false,false,338829.34,false,,338829.34
Vykonanie hlavnej opravy na hnacom dráhovom vozidle radu 736.,"Železničná spoločnosť Cargo Slovakia, a.s.",,1700000,Otvorená,Služby,1,SK032,true,false,false,1700000,false,,1700000
Nábytok do kancelárií a do učební pre UK,Univerzita Komenského v Bratislave,,1000000,Otvorená,Tovary,Kúpa,SK01,false,true,false,1000000,false,,1000000
Nábytok do kancelárií a do učební pre UK,Univerzita Komenského v Bratislave,,1000000,Otvorená,Tovary,Kúpa,SK,false,false,false,36927.03,false,,36927.03
Nábytok do kancelárií a do učební pre UK,Univerzita Komenského v Bratislave,,1000000,Otvorená,Tovary,Kúpa,SK,false,false,false,126526.4916,false,,126526.4916
Laboratórna technika,Výskumný ústav vodného hospodárstva,,15600000,Otvorená,Tovary,Kúpa,SK010,true,true,true,18608372.4,true,20,14886697.92
ROEP pre k.ú. Belá a k.ú. Teplička nad Váhom v okrese Žilina,"Úrad geodézie, kartografie a katastra SR",,248691,Otvorená,Služby,27 - Ostatné služby,SK031,false,true,false,102998,false,,102998
Špeciálna hasičská a záchranárska technika I.,Ministerstvo vnútra Slovenskej republiky,,36133334,Otvorená,Tovary,Kúpa,SK,true,false,true,8404325,false,,8404325
Špeciálna hasičská a záchranárska technika I.,Ministerstvo vnútra Slovenskej republiky,,36133334,Otvorená,Tovary,Kúpa,SK0,true,false,true,36133334,false,,36133334
